mse,abs_percentage_median,abs_percentage_mean,abs_percentage_std,div_max,div_min,div_avg,n
3.761122965896217e-12,97.23291929789005,96.03563655043979,4.365429051103538,0.02354008039872213,-1.2210633273258127,-0.3480913038629893,53
2.2831385359526353e-12,97.28113810263426,96.11958556147567,4.245615179499759,0.02422925945838683,-1.2300567335398904,-0.34601112668520384,54
2.076473121981442e-12,97.33007227792712,96.19739351240608,4.138923211681163,0.024164809309018653,-1.2298050272252095,-0.34600262380533026,55
2.96808437637765e-12,97.37534756361879,96.28072394463973,4.007370662402345,0.07727172204101684,-1.2633624842686957,-0.35478560441140106,56
1.9548944628716526e-12,97.42656203825744,96.36581204763145,3.8852679526068106,0.08146867122081791,-1.2238628471667905,-0.35394797403126516,57
3.0297880439756075e-12,97.4869070655364,96.44878715349135,3.7957178171439874,0.0729705546385695,-1.259563027109777,-0.3561267883228275,58
2.855950751752448e-12,97.55087519929617,96.5436568064779,3.6729062906250967,0.07082604611202226,-1.3076942911004221,-0.3576567986337592,59
2.682676763324796e-12,97.60188015408079,96.61554690981396,3.5882208050924733,0.07078541134806005,-1.3078375467120558,-0.3576582370459833,60
2.460999533616812e-12,97.65283424827588,96.68813519081807,3.505996931849831,0.07180230213677918,-1.3092202810690443,-0.3577522632399145,61
3.755467587567454e-12,97.71816956880781,96.77996008130995,3.410224167319026,0.07089970112298416,-1.3253154024882692,-0.35745649369765997,62
1.924174422118457e-12,97.76939738338191,96.84230375108943,3.350650084966394,0.11566603362167027,-1.3118084145516384,-0.358848009553856,63
1.7283552202721672e-12,97.84017069222742,96.93181469132277,3.2662796027790826,0.10455957896047263,-1.3505394466391074,-0.35558466649054965,64
1.132677800248107e-12,97.91877862254259,97.02399987027657,3.1842593156732653,0.1065215216421781,-1.3493966818370224,-0.3557989165525332,65
8.866345426421221e-13,97.9819049314527,97.08995333009307,3.1483200442274843,0.10627608568595359,-1.3417558480764287,-0.35601087904742884,66
1.3414483610836683e-13,98.04845214114488,97.16859965823275,3.084787951480465,0.11571380524908115,-1.3469536849413486,-0.354510578050878,67
7.898955526184846e-15,98.12633521366419,97.25483365511616,3.0145930815160424,0.11785758838086302,-1.3528254560282353,-0.35405266228891735,68
3.0283981832998835e-14,98.18500658243391,97.32825888142919,2.9505207550460057,0.11441638635815043,-1.3415702905656652,-0.3533948182784921,69
2.315709313185444e-14,98.25272313936975,97.41301435034472,2.8692794981516254,0.14497706276649835,-1.317632767202952,-0.3537229250970651,70
1.6701476000322167e-13,98.30739062061465,97.47510142654264,2.8181559919223433,0.16924164199970715,-1.3119311399097326,-0.35564629364351524,71
2.013629227079499e-13,98.35742703013653,97.53513899190965,2.771796084047158,0.17577812488978806,-1.3127593845169554,-0.35594673197602006,72
6.621807232844109e-14,98.37059324922345,97.5737658088464,2.6998841149053607,0.16083661788116466,-1.276469158454589,-0.34577875883944115,73
3.935583265700944e-14,98.39491733868957,97.6226837816219,2.6289739270904366,0.17765256699434862,-1.437613241261902,-0.3357465513762514,74
3.0954094924263495e-14,98.42410242736348,97.67605200393257,2.5627158318857144,0.1838830403208418,-1.424704089652294,-0.3359972055064561,75
5.3324306085582956e-15,98.448944179101,97.72329684649064,2.502107642868612,0.184023840125354,-1.4244429757413035,-0.33554463854135796,76
3.1915157304977664e-14,98.46903262753074,97.76217066522302,2.446007334943741,0.18173170833437768,-1.4163547177121194,-0.3366421730425757,77
3.1068353177875374e-14,98.49360834262893,97.80656847599431,2.38856234552356,0.17945702359349924,-1.3668271076241083,-0.33656478368138165,78
2.9910808241383493e-14,98.51373197498383,97.84313756288238,2.3392723838608607,0.1787542905311802,-1.3723280668604283,-0.3365162427604008,79
3.3732057453465377e-14,98.53113146246429,97.86798861946941,2.3110359948824155,0.17201358655813503,-1.2773794854500764,-0.3370766203235656,80
5.687609992545698e-14,98.55039424395062,97.8952229710382,2.2725230556224965,0.17250305180565983,-1.2773320634611087,-0.3370182776533342,81
1.6399471363148125e-14,98.57184299465516,97.93403321967752,2.228551491196619,0.15585681947058538,-1.3017050499667415,-0.33821305725387396,82
1.3106476516291801e-15,98.60022058429158,97.97505963057215,2.187637159492706,0.16483143206043316,-1.2912147910778522,-0.33885363363632265,83
9.09796297295744e-15,98.62695609664195,98.0132486291192,2.148672993351738,0.20269943529634027,-1.3048255900702022,-0.33768290078287516,84
1.0177260633791603e-14,98.64056610994379,98.03870588860224,2.1132910793103097,0.21147919289466888,-1.3684141376168357,-0.3363546842117101,85
1.426035772115716e-14,98.66489861602997,98.06842054593511,2.0862086645650835,0.21027259923572217,-1.3686012072922304,-0.3364281024057445,86
